,network,station,lat,long,f_hvsr,A_hvsr,f_gmsr,A_gmsr,A_pga,A_pgv,dM,A_site
0,CN,A11,47.24,-70.2,0.0,0.0,0.0,0.0,0.627798,0.86225,-0.2122466757007158,0.0
1,CN,A16,47.47,-70.01,0.0,0.0,0.0,0.0,0.916565,1.00939,-0.0343494169042695,0.0
2,CN,A21,47.7,-69.69,0.0,0.0,0.0,0.0,1.32172,1.73215,0.0494576442464672,0.0
3,CN,A54,47.46,-70.41,0.0,0.0,0.0,0.0,0.987165,1.02257,0.0412122837670763,0.0
4,CN,A61,47.69,-70.09,0.0,0.0,0.0,0.0,1.25869,1.26842,-0.1578556269457794,0.0
5,CN,A64,47.83,-69.89,0.0,0.0,0.0,0.0,1.03434,0.889918,-0.0495245958032336,0.0
6,CN,ATKO,48.82,-91.6,13.63,4.2,,,,,0.3307999999999998,0.0
7,CN,BATG,47.28,-66.06,21.02,3.79,0.0,0.0,1.54614,1.25314,0.0350411293797028,0.0
8,CN,BCLQ,46.93,-71.17,0.0,0.0,,,,,0.0007797761742419,0.0
9,CN,BJBQ,50.29,-62.81,0.0,0.0,,,,,0.1918163054695562,0.0
10,CN,BOIN,46.46,-66.41,14.86,4.35,,,,,,0.0
11,CN,BSPQ,47.44,-70.51,0.46,18.84,,,,,0.5470588235294118,6.1312
12,CN,CACQ,47.95,-69.5,0.0,0.0,,,,,-0.0160606870540719,0.0
13,CN,CALQ,45.59,-75.81,0.0,0.0,,,,,-0.0324999999999999,0.0
14,CN,CHIQ,48.49,-71.01,0.0,0.0,,,,,,0.0
15,CN,CHRO,46.04,-77.38,0.0,0.0,,,,,0.0312396694214876,0.0
16,CN,CLRN,70.47,-68.59,0.0,0.0,,,,,,0.0
17,CN,CNOQ,49.3,-68.07,0.0,0.0,,,,,0.0809999999999999,0.0
18,CN,COBO,45.63,-76.88,0.0,0.0,,,,,,0.0
19,CN,DPQ,46.68,-72.78,0.0,0.0,,,,,0.1127596860706595,0.0
20,CN,DRMQ,45.9,-72.47,0.0,0.0,,,,,,0.0
21,CN,EDUN,47.37,-68.32,0.0,0.0,,,,,,0.0
22,CN,EFO,43.09,-79.31,0.0,0.0,,,,,-0.0284976525821596,0.0
23,CN,FRB,63.75,-68.55,0.0,0.0,,,,,-0.1361571319603355,0.0
24,CN,GAC,45.7,-75.48,0.0,0.0,0.0,0.0,1.69802,1.50937,-0.1102215473681395,0.0
25,CN,GGN,45.12,-66.84,0.0,0.0,0.0,0.0,1.61215,1.46107,0.0587166163313878,0.0
26,CN,GRQ,46.61,-75.86,0.0,0.0,,,,,-0.0007314664941447,0.0
27,CN,HAL,44.64,-63.59,0.0,0.0,,,,,-0.0983123813301308,0.0
28,CN,HLIO,44.37,-75.95,0.0,0.0,,,,,,0.0
29,CN,HSNB,47.28,-66.06,0.0,0.0,,,,,0.0410157496012758,0.0
30,CN,HWKO,45.61,-74.6,0.0,0.0,,,,,,0.0
31,CN,ICQ,49.52,-67.27,0.0,0.0,0.0,0.0,1.59674,1.45852,0.0426901273514785,0.0
32,CN,ILON,69.37,-81.82,0.0,0.0,,,,,,0.0
33,CN,KAPO,49.45,-82.51,0.0,0.0,0.0,0.0,1.46539,1.45194,-0.0582100322348,0.0
34,CN,KGNO,44.23,-76.49,0.0,0.0,0.0,0.0,1.07829,1.09015,-0.0380815347721822,0.0
35,CN,KILO,48.5,-79.72,0.0,0.0,0.0,0.0,1.47458,1.15817,-0.0859473684210526,0.0
36,CN,KIPQ,46.79,-79.06,0.0,0.0,,,,,0.0139316239316239,0.0
37,CN,LDAQ,47.96,-71.24,0.0,0.0,,,,,0.09890625,0.0
38,CN,LDSQ,45.71,-76.35,0.0,0.0,,,,,,0.0
39,CN,LMN,45.85,-64.81,0.0,0.0,0.0,0.0,0.997238,0.980072,-0.0989176888325916,0.0
40,CN,LMQ,47.55,-70.33,12.5,3.55,0.0,0.0,1.6186,1.3626,0.1147471107818028,0.0
41,CN,MALO,50.02,-79.76,0.0,0.0,0.0,0.0,1.59335,1.5355,0.0152542372881355,0.0
